reactant-1,reactant-2,reagent-1,catalyst-1,catalyst-2,solvent-1,solvent-2,solvent-3,solvent-4,solvent-5,solvent-6,solvent-7,product,temperature_c,pressure_kpa,reaction_time_s,conditions_are_dynamic_value,yield_percent
Clc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)(C)P(C(C)(C)C)C(C)(C)C,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CC#N,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,9.760000228881836
O=S(=O)(Oc1ccc2ncccc2c1)C(F)(F)F,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,[Na+].[OH-],CC(=O)[O-].CC(=O)[O-].[Pd+2],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CO,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,96.69999694824219
Brc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],[Na+].[OH-],CC(=O)[O-].CC(=O)[O-].[Pd+2],[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,C1CCOC1,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,20.489999771118164
O=S(=O)(Oc1ccc2ncccc2c1)C(F)(F)F,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.[Fe],CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CN(C)C=O,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,50.75
Brc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],O=C([O-])O.[Na+],CC(=O)[O-].CC(=O)[O-].[Pd+2],[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CC#N,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,20.729999542236328
Ic1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],,CC(=O)[O-].CC(=O)[O-].[Pd+2],[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CO,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,37.18000030517578
Ic1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,CC(C)(C)[O-].[Li+],CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCc1cccc(CC)c1,CCCCCC,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CC#N,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,92.7699966430664
Brc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],[Cs+].[F-],CC(=O)[O-].CC(=O)[O-].[Pd+2],CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,C1CCOC1,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,57.209999084472656
Brc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],O=C([O-])O.[Na+],CC(=O)[O-].CC(=O)[O-].[Pd+2],Cc1ccccc1P(c1ccccc1C)c1ccccc1C,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CN(C)C=O,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,13.770000457763672
O=S(=O)(Oc1ccc2ncccc2c1)C(F)(F)F,Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Pd+2],Cc1ccccc1P(c1ccccc1C)c1ccccc1C,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,C1CCOC1,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,16.850000381469727
O=S(=O)(Oc1ccc2ncccc2c1)C(F)(F)F,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,CCN(CC)CC,CC(=O)[O-].CC(=O)[O-].[Pd+2],CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CCc1cccc(CC)c1,C1CCOC1,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CN(C)C=O,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,53.779998779296875
Clc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,[Na+].[OH-],CC(=O)[O-].CC(=O)[O-].[Pd+2],,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CC#N,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,17.290000915527344
O=S(=O)(Oc1ccc2ncccc2c1)C(F)(F)F,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,O=C([O-])O.[Na+],CC(=O)[O-].CC(=O)[O-].[Pd+2],CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,C1CCOC1,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,30.600000381469727
O=S(=O)(Oc1ccc2ncccc2c1)C(F)(F)F,Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],CCN(CC)CC,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCc1cccc(CC)c1,C1CCOC1,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CC#N,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,12.119999885559082
Ic1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,[Na+].[OH-],CC(=O)[O-].CC(=O)[O-].[Pd+2],CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CC#N,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,94.38999938964844
Brc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,O=C([O-])O.[Na+],CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)(C)P(C(C)(C)C)C(C)(C)C,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CN(C)C=O,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,13.199999809265137
Clc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],,CC(=O)[O-].CC(=O)[O-].[Pd+2],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CC#N,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,19.579999923706055
Ic1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)(C)P(C(C)(C)C)C(C)(C)C,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CN(C)C=O,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,13.050000190734863
Brc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,C1CCOC1,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,41.29999923706055
Ic1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],O=C([O-])O.[Na+],CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)(C)P(C(C)(C)C)C(C)(C)C,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CC#N,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,15.829999923706055
O=S(=O)(Oc1ccc2ncccc2c1)C(F)(F)F,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,[Cs+].[F-],CC(=O)[O-].CC(=O)[O-].[Pd+2],CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CO,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,41.540000915527344
O=S(=O)(Oc1ccc2ncccc2c1)C(F)(F)F,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,[Cs+].[F-],CC(=O)[O-].CC(=O)[O-].[Pd+2],COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CO,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,71.87999725341797
Clc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Pd+2],CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1.CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1.[Cl][Pd][Cl],CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CN(C)C=O,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,9.319999694824219
Clc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CO,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,43.45000076293945
Brc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,,CC(=O)[O-].CC(=O)[O-].[Pd+2],,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,C1CCOC1,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,5.53000020980835
Cc1ccc2c(cnn2C2CCCCO2)c1Br,F[B-](F)(F)c1ccc2ncccc2c1.[K+],[Na+].[OH-],CC(=O)[O-].CC(=O)[O-].[Pd+2],,CCc1cccc(CC)c1,O,O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,C1CCOC1,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,28.809999465942383
Ic1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],CC(C)(C)[O-].[Li+],CC(=O)[O-].CC(=O)[O-].[Pd+2],CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1.CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1.[Cl][Pd][Cl],CCc1cccc(CC)c1,CCCCCC,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CO,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,61.47999954223633
Clc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Pd+2],COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,C1CCOC1,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,53.720001220703125
Cc1ccc2c(cnn2C2CCCCO2)c1Br,F[B-](F)(F)c1ccc2ncccc2c1.[K+],O=C([O-])O.[Na+],CC(=O)[O-].CC(=O)[O-].[Pd+2],,CCc1cccc(CC)c1,O,O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,C1CCOC1,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,29.799999237060547
Cc1ccc2c(cnn2C2CCCCO2)c1Br,F[B-](F)(F)c1ccc2ncccc2c1.[K+],CC(C)(C)[O-].[Li+],CC(=O)[O-].CC(=O)[O-].[Pd+2],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCc1cccc(CC)c1,CCCCCC,O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CC#N,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,59.689998626708984
Brc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,[Cs+].[F-],CC(=O)[O-].CC(=O)[O-].[Pd+2],Cc1ccccc1P(c1ccccc1C)c1ccccc1C,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,C1CCOC1,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,50.310001373291016
Ic1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,O=C([O-])O.[Na+],CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)(C)P(C(C)(C)C)C(C)(C)C,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,C1CCOC1,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,95.58000183105469
Clc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Pd+2],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CC#N,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,14.020000457763672
Clc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],O=C([O-])O.[Na+],CC(=O)[O-].CC(=O)[O-].[Pd+2],,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CC#N,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,17.530000686645508
Ic1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Pd+2],CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CN(C)C=O,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,80.2300033569336
Brc1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,[K+].[OH-],CC(=O)[O-].CC(=O)[O-].[Pd+2],Cc1ccccc1P(c1ccccc1C)c1ccccc1C,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CO,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,88.23999786376953
Cc1ccc2c(cnn2C2CCCCO2)c1Br,F[B-](F)(F)c1ccc2ncccc2c1.[K+],O=C([O-])O.[Na+],CC(=O)[O-].CC(=O)[O-].[Pd+2],CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,CCc1cccc(CC)c1,O,O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CC#N,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,0.0
O=S(=O)(Oc1ccc2ncccc2c1)C(F)(F)F,Cc1ccc2c(cnn2C2CCCCO2)c1[B-](F)(F)F.[K+],[Cs+].[F-],CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCc1cccc(CC)c1,O,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,C1CCOC1,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,35.38999938964844
Ic1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,CCN(CC)CC,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.[Fe],CCc1cccc(CC)c1,C1CCOC1,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CO,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,59.72999954223633
Ic1ccc2ncccc2c1,Cc1ccc2c(cnn2C2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,CCN(CC)CC,CC(=O)[O-].CC(=O)[O-].[Pd+2],COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CCc1cccc(CC)c1,C1CCOC1,CN(C)C=O,CCc1cc(CC)cc(CC)c1,Cc1ccccc1,CC#N,O,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,100.0,10000.0,60.0,0.0,84.9000015258789
