reactant-1,reactant-2,product,temperature_c,reaction_time_s,yield_percent
COc1ccc2ccccc2c1,Cn1cnc2ccccc21,Cn1c(-c2ccc3ccccc3c2)nc2ccccc21,130.0,57600.0,37.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,CC(C)[CH2][Al]([CH2]C(C)C)[c]1ccccc1,c1ccc(-c2ccc3ccccc3c2)cc1,25.0,86400.0,93.0
CC1(C)COB(c2ccccc2)OC1,CCN(CC)C(=O)Oc1ccc2ccccc2c1,c1ccc(-c2ccc3ccccc3c2)cc1,120.0,86400.0,88.0
COc1ccc2ccccc2c1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2ccc3ccccc3c2)cc1,100.0,14400.0,70.0
COc1ccccc1,[CH3][Mg][Br],Cc1ccccc1,110.0,1200.0,62.0
Cc1cc[c]([Mg][Br])cc1,COc1ccc2cc(N3CCCC3)ccc2c1,Cc1ccc(-c2ccc3cc(N4CCCC4)ccc3c2)cc1,60.0,86400.0,79.0
COc1ccc2ccccc2c1,Cc1cc[c]([Mg][Cl])cc1,Cc1ccc(-c2ccc3ccccc3c2)cc1,60.0,86400.0,88.0
CCN(CC)C(=O)Oc1ccccc1-c1ccccc1,C[Si](C)(C)[CH2][Mg][Cl],C[Si](C)(C)Cc1ccccc1-c1ccccc1,25.0,57600.0,40.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,CC[Si](CC)(CC)B1OC(C)(C)C(C)(C)O1,CC[Si](CC)(CC)c1ccc2ccccc2c1,50.0,7200.0,1.0
CCO[Si](OCC)(OCC)c1cccc(C)c1,CN(C)C(=O)Oc1ccc2ncccc2c1,Cc1cccc(-c2ccc3ncccc3c2)c1,120.0,43200.0,85.0
COc1ccc2cc(-c3ccc(C(C)(C)C)cc3)ccc2c1,Cn1cnc2ccccc21,Cn1c(-c2ccc3cc(-c4ccc(C(C)(C)C)cc4)ccc3c2)nc2ccccc21,90.0,57600.0,45.0
CCN(CC)C(=O)Oc1ccc(C#N)cc1,OB(O)c1ccccc1,N#Cc1ccc(-c2ccccc2)cc1,150.0,45000.0,28.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,CC[Si](CC)(CC)B1OC(C)(C)C(C)(C)O1,CC[Si](CC)(CC)c1ccc2ccccc2c1,50.0,7200.0,20.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,c1ccc2ocnc2c1,c1ccc2cc(-c3nc4ccccc4o3)ccc2c1,120.0,43200.0,9.0
[Br][Mg][c]1ccccc1,COc1ccc(CCCO)cc1,OCCCc1ccc(-c2ccccc2)cc1,80.0,54000.0,77.0
CC(C)(C)C(=O)Oc1cccc2ccccc12,F[B-](F)(F)c1cccnc1.[K+],c1cncc(-c2cccc3ccccc23)c1,110.0,3600.0,0.0
CC(C)(C)OC(=O)Oc1ccc2ccccc2c1,COc1ccc(B(O)O)cc1,COc1ccc(-c2ccc3ccccc3c2)cc1,60.0,14400.0,57.0
COc1ccc2cc(CCO[Si](C)(C)C(C)(C)C)ccc2c1,[Li][Zn]([Li])([CH3])([CH3])([CH3])[c]1ccccc1,CC(C)(C)[Si](C)(C)OCCc1ccc2cc(-c3ccccc3)ccc2c1,25.0,32400.0,67.0
CC(C)(C)C(=O)Oc1cccc2ccccc12,F[B-](F)(F)c1ccncc1.[K+],c1ccc2c(-c3ccncc3)cccc2c1,110.0,14400.0,32.0
[Br][Mg][c]1ccccc1,c1ccc2c(c1)oc1ccccc12,Oc1cccc(-c2ccccc2)c1-c1ccccc1,80.0,7200.0,74.0
CCO[Si](OCC)(OCC)c1cccc(C)c1,CN(C)C(=O)Oc1ccc2cc(-c3ccccc3)ccc2c1,Cc1cccc(-c2ccc3cc(-c4ccccc4)ccc3c2)c1,120.0,43200.0,61.0
COc1ccc(Oc2nc(OC)nc(OC)n2)cc1,OB(O)c1ccccc1,COc1ccc(-c2ccccc2)cc1,110.0,86400.0,38.0
C[Si](C)(C)Oc1cccc2ccccc12,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2cccc3ccccc23)cc1,120.0,57600.0,92.0
COc1cccc(-c2ccc(C(C)(C)C)cc2)c1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2cccc(-c3ccc(C(C)(C)C)cc3)c2)cc1,60.0,14400.0,82.0
CN(C)C(=O)Oc1ccccc1,Cn1cnc2ccccc21,Cn1c(-c2ccccc2)nc2ccccc21,110.0,43200.0,53.0
COc1ccc2ccccc2c1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2ccc3ccccc3c2)cc1,60.0,14400.0,75.0
CC(C)c1cc(C(C)C)c(C(=O)Oc2ccc3ccccc3c2)c(C(C)C)c1,CCCCN=C=O,CCCCNC(=O)c1ccc2ccccc2c1,80.0,86400.0,56.0
COc1ccc(/C=C/c2ccccc2)cc1,Cn1cnc2ccccc21,Cn1c(-c2ccc(/C=C/c3ccccc3)cc2)nc2ccccc21,90.0,57600.0,33.0
COc1ccc2ccccc2c1,Cn1cncc1-c1ccccc1,Cn1c(-c2ccccc2)cnc1-c1ccc2ccccc2c1,90.0,57600.0,30.0
CC1(C)COB(c2ccccc2)OC1,CCN(CC)C(=O)Oc1ccccc1,c1ccc(-c2ccccc2)cc1,120.0,86400.0,71.0
CC(C)[CH2][Al]([CH2]C(C)C)[c]1ccccc1,CCN(CC)C(=O)Oc1ccc(C(F)(F)F)cc1,FC(F)(F)c1ccc(-c2ccccc2)cc1,50.0,86400.0,91.0
CCN(CC)C(=O)Oc1cccc(F)c1,COc1ccc(B(O)O)cc1,COc1ccc(-c2cccc(F)c2)cc1,150.0,36000.0,69.0
CCN(CC)C(=O)Oc1cccc2ccccc12,COc1ccc(B(O)O)cc1,COc1ccc(-c2cccc3ccccc23)cc1,130.0,86400.0,86.0
CCO[Si](OCC)(OCC)c1ccc(C)cc1,CN(C)C(=O)Oc1ccc2ccccc2c1,Cc1ccc(-c2ccc3ccccc3c2)cc1,120.0,43200.0,0.0
[Li][Zn]([Li])([CH3])([CH3])([CH3])[c]1ccc(OC)cc1,COc1ccc2ccccc2c1,COc1ccc(-c2ccc3ccccc3c2)cc1,25.0,32400.0,85.0
OB(O)c1ccccc1,CC(C)(C)C(=O)Oc1c2ccccc2cc2ccccc12,c1ccc(-c2c3ccccc3cc3ccccc23)cc1,100.0,21600.0,4.0
CCN(CC)C(=O)Oc1ccccc1-c1ccccc1,OB(O)c1ccccc1,c1ccc(-c2ccccc2-c2ccccc2)cc1,150.0,45000.0,50.0
CCN(CC)C(=O)Oc1ccccc1,CN(C)c1ccc(B2OCC(C)(C)CO2)cc1,CN(C)c1ccc(-c2ccccc2)cc1,150.0,72000.0,77.0
COCOc1ccc(Cc2ccccc2)cc1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2ccc(Cc3ccccc3)cc2)cc1,120.0,57600.0,74.0
COc1ccc2ccccc2c1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2ccc3ccccc3c2)cc1,100.0,57600.0,97.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,CCCCN=C=O,CCCCNC(=O)c1ccc2ccccc2c1,80.0,86400.0,42.0
CC(C)(C)OC(=O)Oc1ccc2ccccc2c1,Cc1cccc(C)c1B(O)O,Cc1cccc(C)c1-c1ccc2ccccc2c1,60.0,14400.0,70.0
CC(C)(C)C(=O)Oc1cccc2ccccc12,F[B-](F)(F)c1cccnc1.[K+],c1cncc(-c2cccc3ccccc23)c1,110.0,3600.0,0.0
COC(=O)Oc1ccc2ccccc2c1,OB(O)c1ccc(C(F)(F)F)cc1,FC(F)(F)c1ccc(-c2ccc3ccccc3c2)cc1,60.0,172800.0,64.0
CC1(C)COB(c2ccccc2)OC1,COc1ccc2ccccc2c1,c1ccc(-c2ccc3ccccc3c2)cc1,80.0,43200.0,89.0
CN(C)C(=O)Oc1ccccc1-c1ccccc1,C[Si](C)(C)[CH2][Mg][Cl],C[Si](C)(C)Cc1ccccc1-c1ccccc1,25.0,57600.0,81.0
CCCCN=C=O,Cc1cc(C)c(C(=O)Oc2ccc3ccccc3c2)c(C)c1,CCCCNC(=O)c1ccc2ccccc2c1,80.0,86400.0,45.0
CCO[Si](OCC)(OCC)c1ccc(C)cc1,CN(C)C(=O)Oc1ccc2ccccc2c1,Cc1ccc(-c2ccc3ccccc3c2)cc1,120.0,43200.0,0.0
CCOc1ccc2ccccc2c1,[Li][c]1ccccc1,c1ccc(-c2ccc3ccccc3c2)cc1,25.0,43200.0,78.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,c1ccc2ocnc2c1,c1ccc2cc(-c3nc4ccccc4o3)ccc2c1,120.0,43200.0,92.0
CC1(C)COB(B2OCC(C)(C)CO2)OC1,COc1ccc2c3ccccc3n(C)c2c1,Cn1c2ccccc2c2ccc(-c3ccc4c5ccccc5n(C)c4c3)cc21,140.0,43200.0,68.0
CC(C)(C)OC(=O)Oc1ccc2ccccc2c1,COc1ccc(B(O)O)cc1,COc1ccc(-c2ccc3ccccc3c2)cc1,80.0,86400.0,61.0
CCC(C)(C)OC(=O)c1cccc(OC(=O)N(C)C)c1,Cn1cnc2ccccc21,CCC(C)(C)OC(=O)c1cccc(-c2nc3ccccc3n2C)c1,110.0,43200.0,81.0
COc1cccc(C(F)(F)F)c1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2cccc(C(F)(F)F)c2)cc1,66.0,57600.0,22.0
COc1ccc2ccccc2c1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2ccc3ccccc3c2)cc1,100.0,57600.0,72.0
COC(=O)Oc1ccc2ccccc2c1,Cc1ccccc1B(O)O,Cc1ccccc1-c1ccc2ccccc2c1,60.0,345600.0,63.0
COC(=O)Oc1ccc(OC)cc1,OB(O)c1ccccc1,COc1ccc(-c2ccccc2)cc1,60.0,86400.0,4.0
COc1ccc2cc(/C=C/c3ccccc3)ccc2c1,[CH3][Mg][Br],Cc1ccc2cc(/C=C/c3ccccc3)ccc2c1,80.0,1200.0,94.0
Cc1cc[c]([Mg][Br])cc1,c1ccc2c(c1)oc1ccccc12,Cc1ccc(-c2ccccc2-c2ccccc2O)cc1,80.0,3600.0,0.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,CC[Si](CC)(CC)B1OC(C)(C)C(C)(C)O1,CC[Si](CC)(CC)c1ccc2ccccc2c1,110.0,7200.0,85.0
CCn1cnc2ccccc21,COc1ccccc1,CCn1c(-c2ccccc2)nc2ccccc21,90.0,57600.0,72.0
CN(C)C(=O)Oc1ccccc1,Cn1cncc1-c1ccc2ccccc2c1,Cn1c(-c2ccc3ccccc3c2)cnc1-c1ccccc1,110.0,129600.0,82.0
COc1ccc2ccccc2c1,[Na+].c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,c1ccc(-c2ccc3ccccc3c2)cc1,80.0,43200.0,8.0
COc1ccc2ccccc2c1,Cc1cccc[c]1[Mg][Br],Cc1ccccc1-c1ccc2ccccc2c1,60.0,86400.0,58.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,CCCCN=C=O,CCCCNC(=O)c1ccc2ccccc2c1,80.0,86400.0,70.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,CC[Si](CC)(CC)B1OC(C)(C)C(C)(C)O1,CC[Si](CC)(CC)c1ccc2ccccc2c1,50.0,7200.0,10.0
COc1cc[c]([Mg][Br])cc1,COc1cccc2ccccc12,COc1ccc(-c2cccc3ccccc23)cc1,25.0,86400.0,94.0
COc1ccc2ccccc2c1,[CH3][Mg][Br],Cc1ccc2ccccc2c1,80.0,1200.0,1.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,CC[Si](CC)(CC)B1OC(C)(C)C(C)(C)O1,CC[Si](CC)(CC)c1ccc2ccccc2c1,50.0,7200.0,0.0
CC(=O)c1ccc(OC(=O)C(C)(C)C)cc1,COc1ccc(B2OB(c3ccc(OC)cc3)OB(c3ccc(OC)cc3)O2)cc1,COc1ccc(-c2ccc(C(C)=O)cc2)cc1,110.0,43200.0,75.0
OB(O)c1ccccc1,CC(C)C(=O)Oc1c2ccccc2cc2ccccc12,c1ccc(-c2c3ccccc3cc3ccccc23)cc1,100.0,21600.0,71.0
CCN(CC)C(=O)Oc1ccc2ccccc2c1,OB(O)c1ccccc1,c1ccc(-c2ccc3ccccc3c2)cc1,180.0,600.0,94.0
CCO[Si](OCC)(OCC)c1cccc(C)c1,CN(C)C(=O)Oc1ccc2ccc(Oc3ccccc3)cc2c1,Cc1cccc(-c2ccc3ccc(Oc4ccccc4)cc3c2)c1,120.0,43200.0,68.0
CC(=O)c1ccccc1,CC(C)(C)C(=O)Oc1ccc2ccccc2c1,O=C(Cc1ccc2ccccc2c1)c1ccccc1.O=C(c1ccccc1)C(c1ccc2ccccc2c1)c1ccc2ccccc2c1,150.0,86400.0,0.0
CC(C)(C)OC(=O)Oc1ccc2ccccc2c1,COc1ccc(B(O)O)cc1,COc1ccc(-c2ccc3ccccc3c2)cc1,60.0,14400.0,28.0
COc1cccc2ccccc12,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2cccc3ccccc23)cc1,25.0,36000.0,90.0
CC(C)[CH2][Al]([CH2]C(C)C)[c]1ccccc1,CCN(CC)C(=O)Oc1ccc(OC)cc1,COc1ccc(-c2ccccc2)cc1,70.0,43200.0,1.0
CCO[Si](OCC)(OCC)c1ccccc1OC,CN(C)C(=O)Oc1ccc2cc([Si](C)(C)C)ccc2c1,COc1ccccc1-c1ccc2cc([Si](C)(C)C)ccc2c1,120.0,43200.0,89.0
COc1ccc2ccccc2c1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2ccc3ccccc3c2)cc1,60.0,86400.0,82.0
COc1ccc2cc([Si](C)(C)C)ccc2c1,Cn1cnc2ccccc21,Cn1c(-c2ccc3cc([Si](C)(C)C)ccc3c2)nc2ccccc21,90.0,57600.0,50.0
CC(C)(C)C(=O)Oc1ccc(-c2ccccc2)cc1,Cc1ccc(B2OB(c3ccc(C)cc3)OB(c3ccc(C)cc3)O2)cc1,Cc1ccc(-c2ccc(-c3ccccc3)cc2)cc1,110.0,43200.0,60.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,O=C=O,O=C(O)c1ccc2ccccc2c1,80.0,172800.0,30.0
COc1ccc2ccccc2c1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2ccc3ccccc3c2)cc1,60.0,43200.0,82.0
COc1ccc2ccccc2c1,Cn1cnc2ccccc21,Cn1c(-c2ccc3ccccc3c2)nc2ccccc21,130.0,57600.0,60.0
COc1nc(OC)nc(Oc2ccccc2OC)n1,OB(O)c1ccccc1,COc1ccccc1-c1ccccc1,110.0,86400.0,85.0
CC(C)(C)C(=O)Oc1cccc2ccccc12,F[B-](F)(F)c1cccnc1.[K+],c1cncc(-c2cccc3ccccc23)c1,110.0,3600.0,0.0
COc1ccc2ccccc2c1,[Li][CH3],Cc1ccc2ccccc2c1,25.0,43200.0,88.0
COc1ccc2ccccc2c1,Cn1cnc2ccccc21,Cn1c(-c2ccc3ccccc3c2)nc2ccccc21,130.0,57600.0,18.0
CCN(CC)C(=O)Oc1ccc2c(c1)CCC1C2CC[C@]2(C)C1CCC21OCCO1,C[Si](C)(C)[CH2][Mg][Cl],C[C@]12CCC3c4ccc(C[Si](C)(C)C)cc4CCC3C1CCC21OCCO1,25.0,57600.0,70.0
COc1ccc(B(O)O)cc1,Cc1ccccc1OC(=O)C(C)(C)C,COc1ccc(-c2ccccc2C)cc1,110.0,86400.0,79.0
C[Si](C)(C)Oc1ccc2ccccc2c1,[Li][Zn]([Li])([CH3])([CH3])([CH3])[c]1cccc(C)c1,Cc1cccc(-c2ccc3ccccc3c2)c1,25.0,43200.0,68.0
[CH3][Mg][Br],C[Si](C)(C)Oc1ccc2ccccc2c1,Cc1ccc2ccccc2c1,80.0,1200.0,95.0
COc1cccc(C(F)(F)F)c1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2cccc(C(F)(F)F)c2)cc1,80.0,57600.0,1.0
COc1ccc2ccccc2c1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2ccc3ccccc3c2)cc1,60.0,14400.0,74.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,CC[Si](CC)(CC)B1OC(C)(C)C(C)(C)O1,CC[Si](CC)(CC)c1ccc2ccccc2c1,50.0,7200.0,0.0
COCCc1ccc(OCOC)cc1,Cc1cc[c]([Mg][Br])cc1,COCCc1ccc(-c2ccc(C)cc2)cc1,120.0,57600.0,70.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,O=C=O,O=C(O)c1ccc2ccccc2c1,80.0,172800.0,63.0
CC1(C)COB(c2ccccc2)OC1,COc1ccc2ccccc2c1,c1ccc(-c2ccc3ccccc3c2)cc1,120.0,43200.0,72.0
CC(C)(C)C(=O)Oc1ccccc1,CC(C)O[PH](=O)OC(C)C,CC(C)OP(=O)(OC(C)C)c1ccccc1,100.0,86400.0,0.0
CC(C)(C)C(=O)Oc1ccccc1,CC(C)O[PH](=O)OC(C)C,CC(C)OP(=O)(OC(C)C)c1ccccc1,110.0,86400.0,29.0
COCc1ccc2cc(OC(C)=O)ccc2c1,c1ccc(B2OB(c3ccccc3)OB(c3ccc(-c4cccc(B5OB(c6ccccc6)OB(c6ccccc6)O5)c4)cc3)O2)cc1,COCc1ccc2cc(-c3ccccc3)ccc2c1,110.0,43200.0,83.0
COc1ccc2ccc(-c3ccccc3)cc2c1,[Li][Zn]([Li])([CH3])([CH3])([CH3])[c]1ccccc1,c1ccc(-c2ccc3ccc(-c4ccccc4)cc3c2)cc1,25.0,32400.0,46.0
C[Si](C)(C)[CH2][Mg][Cl],CN(C)C(=O)Oc1cnc2ccccc2c1[Si](C)(C)C,C[Si](C)(C)Cc1cnc2ccccc2c1[Si](C)(C)C,25.0,57600.0,72.0
COc1ccc2ccccc2c1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2ccc3ccccc3c2)cc1,100.0,57600.0,70.0
COc1ccc2cc(OC(=O)N(C)C)ccc2c1,C[Si](C)(O)c1ccccc1,COc1ccc2cc(-c3ccccc3)ccc2c1,120.0,43200.0,60.0
CC(=O)Oc1ccc2ccccc2c1,CC[Si](CC)(CC)B1OC(C)(C)C(C)(C)O1,CC[Si](CC)(CC)c1ccc2ccccc2c1,50.0,54000.0,38.0
CCN(CC)C(=O)Oc1cccc2[nH]c3ccccc3c12,OB(O)c1ccccc1,c1ccc(-c2cccc3[nH]c4ccccc4c23)cc1,150.0,36000.0,36.0
COc1ccc2ccccc2c1,Cn1cnc2ccccc21,Cn1c(-c2ccc3ccccc3c2)nc2ccccc21,130.0,57600.0,58.0
COc1ccc(Oc2nc(OC)nc(OC)n2)cc1,OB(O)c1ccccc1,COc1ccc(-c2ccccc2)cc1,110.0,86400.0,90.0
COc1ccc2ccccc2c1,Cn1cnc2ccccc21,Cn1c(-c2ccc3ccccc3c2)nc2ccccc21,130.0,57600.0,60.0
COCCc1ccc(OCOC)cc1,Cc1cc[c]([Mg][Br])cc1,COCCc1ccc(-c2ccc(C)cc2)cc1,120.0,57600.0,75.0
CCN(CC)C(=O)Oc1ccccc1Cc1ccccc1,OB(O)c1ccccc1,c1ccc(Cc2ccccc2-c2ccccc2)cc1,150.0,36000.0,70.0
CC(C)c1cc[c]([Mg][Br])cc1,COc1ccc2ccccc2c1,CC(C)c1ccc(-c2ccc3ccccc3c2)cc1,60.0,86400.0,95.0
CCN(CC)C(=O)Oc1ccc2ccccc2c1,COc1ccc(B(O)O)cc1,COc1ccc(-c2ccc3ccccc3c2)cc1,130.0,86400.0,47.0
CC(C)(C)OC(=O)Oc1ccc2ccccc2c1,OB(O)c1ccccc1,c1ccc(-c2ccc3ccccc3c2)cc1,60.0,14400.0,52.0
CC1(C)COB(B2OCC(C)(C)CO2)OC1,COc1cccc2ccccc12,c1ccc2c(-c3cccc4ccccc34)cccc2c1,120.0,43200.0,60.0
COc1ccc2ccccc2c1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2ccc3ccccc3c2)cc1,60.0,86400.0,88.0
COc1ccc2ccccc2c1,[Li][Zn]([Li])([CH3])([CH3])([CH3])[c]1ccc(-c2ccccc2)cc1,c1ccc(-c2ccc(-c3ccc4ccccc4c3)cc2)cc1,25.0,32400.0,87.0
Cc1cc[c]([Mg][Br])cc1,COc1ccc(-c2ccccc2)cc1,Cc1ccc(-c2ccc(-c3ccccc3)cc2)cc1,60.0,86400.0,27.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,O=C=O,O=C(O)c1ccc2ccccc2c1,80.0,172800.0,0.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,CCCCN=C=O,CCCCNC(=O)c1ccc2ccccc2c1,80.0,86400.0,18.0
COc1cccc2ccccc12,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2cccc3ccccc23)cc1,80.0,86400.0,81.0
COc1ccc2ccccc2c1,[Li][Zn]([Li])([CH3])([CH3])([CH3])[c]1cccc(C)c1,Cc1cccc(-c2ccc3ccccc3c2)c1,25.0,32400.0,76.0
CC(C)(C)Oc1ccc2ccccc2c1,[CH3][Mg][Br],Cc1ccc2ccccc2c1,80.0,1200.0,88.0
COc1cccc(C(F)(F)F)c1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2cccc(C(F)(F)F)c2)cc1,69.0,57600.0,24.0
CCN(CC)C(=O)Oc1cccc2ccccc12,OB(O)c1ccccc1,c1ccc(-c2cccc3ccccc23)cc1,180.0,600.0,85.0
Cc1cc[c]([Mg][Br])cc1,COCCCCc1ccc2cc(OC)ccc2c1,COCCCCc1ccc2cc(-c3ccc(C)cc3)ccc2c1,60.0,86400.0,95.0
COc1ccc2ccccc2c1,Cc1ccc(Br)cc1,Cc1ccc(-c2ccc3ccccc3c2)cc1,60.0,86400.0,0.0
CCN(CC)C(=O)Oc1ccc2ccccc2c1,Cc1ccc(B(O)O)cc1,Cc1ccc(-c2ccc3ccccc3c2)cc1,120.0,72000.0,69.0
CC[Si](CC)(CC)B1OC(C)(C)C(C)(C)O1,COC(=O)c1cc2ccccc2cc1OC(=O)C(C)(C)C,CC[Si](CC)(CC)c1cc2ccccc2cc1C(=O)OC,80.0,30600.0,58.0
COc1cccc(C(F)(F)F)c1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2cccc(C(F)(F)F)c2)cc1,80.0,57600.0,54.0
CC(C)[CH2][Al]([CH2]C(C)C)[c]1ccccc1,CCN(CC)C(=O)Oc1ccc(OC)c2ccccc12,COc1ccc(-c2ccccc2)c2ccccc12,50.0,86400.0,92.0
COc1cccc2ccccc12,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2cccc3ccccc23)cc1,120.0,57600.0,95.0
Cc1cc(C)c(C(=O)Oc2ccc3ccccc3c2)c(C)c1,O=C=O,O=C(O)c1ccc2ccccc2c1,80.0,172800.0,64.0
COc1ccc2ccccc2c1-c1ccccc1,Cn1cnc2ccccc21,Cn1c(-c2ccc3ccccc3c2-c2ccccc2)nc2ccccc21,90.0,57600.0,35.0
COc1ccc2ccccc2c1,Cn1cnc2ccccc21,Cn1c(-c2ccc3ccccc3c2)nc2ccccc21,70.0,57600.0,40.0
CC(C)(C)C(=O)Oc1cccc2ccccc12,OB(O)c1ccccc1,c1ccc(-c2cccc3ccccc23)cc1,80.0,86400.0,92.0
