artifact_id,old_path,object_type,size_bytes,sha256,disposition,artifact_class,origin,new_path,source_license_candidate_id,audited_license_id,audit_evidence_type,audit_evidence_ref,attribution_requirement,share_alike_requirement,redistribution_status_after_license_audit,release_allowlist_status,decision,rationale,license_text_path,next_gate
dataset-artifact-42579d3ff92cf96d54123f2a,processing,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing,provenance/artifact-inventory.csv#dataset-artifact-42579d3ff92cf96d54123f2a,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-f5eb9048e09b8a3e2e3a88d4,processing/_needs_review/derived/csv-smoke/manifests/validation_report.csv,file,93,4e800c3caf902538a35bd65563b682b94ba2da8389586bbc125c50b2384b1bc2,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/manifests/validation_report.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/validation_report.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-a800f261db9dbfdd27401969,processing/_needs_review/derived/csv-smoke/tables,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables,provenance/artifact-inventory.csv#dataset-artifact-a800f261db9dbfdd27401969,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-23692a9381a7f536c28a1b8b,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s41586_021_03213_y,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s41586_021_03213_y,provenance/artifact-inventory.csv#dataset-artifact-23692a9381a7f536c28a1b8b,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-7601eb2b9a566e2c10654dba,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s41586_021_03213_y/reactions.csv,file,13167262,17ab3232b6688840f5588df1c8dddc61a7dabbee86a99c33c562c03f9124f76a,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s41586_021_03213_y/reactions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s41586_021_03213_y/reactions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-512dbb06bcadc7cbe6a11c30,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s44160_023_00351_1,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s44160_023_00351_1,provenance/artifact-inventory.csv#dataset-artifact-512dbb06bcadc7cbe6a11c30,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-eaad3ddbd4b645dbe6c63792,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s44160_023_00351_1/reactions.csv,file,27723379,a49c9c12cfa5bcaa8a2570424ad157cc9a7ce9c171b59fe36c9ec409e3dcfc36,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s44160_023_00351_1/reactions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s44160_023_00351_1/reactions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-ec2a0085bdca869589605fae,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c5sc04751j,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c5sc04751j,provenance/artifact-inventory.csv#dataset-artifact-ec2a0085bdca869589605fae,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-279eb7386f7f6f194d40778e,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c5sc04751j/reactions.csv,file,1649747,7bf8b322d01d88a1acb324fee80a51c769d3e76e769794ee3a474635addd1d89,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c5sc04751j/reactions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c5sc04751j/reactions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-b46af5eff895b7404749f3cb,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c6re00153j,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c6re00153j,provenance/artifact-inventory.csv#dataset-artifact-b46af5eff895b7404749f3cb,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-fda792247d61494e4df7a2d8,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c6re00153j/reactions.csv,file,2257827,33771856f8c9899c92d078d394cbcc9915ab24897d0d9a7eb8701e898105de43,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c6re00153j/reactions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c6re00153j/reactions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-23935727ad5c7ca7e8e4be4a,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1126_science_1259203,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1126_science_1259203,provenance/artifact-inventory.csv#dataset-artifact-23935727ad5c7ca7e8e4be4a,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-50d891322506298208478848,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1126_science_1259203/reactions.csv,file,17466453,ca185591fe871c14a04a19d5161053a228bbdf040fb601c32de83cdb214c8413,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1126_science_1259203/reactions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=lit_10_1126_science_1259203/reactions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-4884a69be67e2fef476aca67,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_26434_chemrxiv_15001213,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_26434_chemrxiv_15001213,provenance/artifact-inventory.csv#dataset-artifact-4884a69be67e2fef476aca67,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-46716691b60372374e5ff3ff,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_26434_chemrxiv_15001213/reactions.csv,file,1121680,1f7ee26f0b2298e720ddcca93ed76d1dc74b2198eff20c326b44119f14631ee7,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_26434_chemrxiv_15001213/reactions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=lit_10_26434_chemrxiv_15001213/reactions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-5f7ed1dacbb68d378814b65d,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_00005539a1e04c809a9a78647bea649c,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_00005539a1e04c809a9a78647bea649c,provenance/artifact-inventory.csv#dataset-artifact-5f7ed1dacbb68d378814b65d,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-a3c64bede55f23a136b5a54b,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_00005539a1e04c809a9a78647bea649c/reactions.csv,file,2902696,ab44dc0195ff5af36efbd0b9b77e3b284ab79e8cb1b0a7773b571a9a184c7c53,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_00005539a1e04c809a9a78647bea649c/reactions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=physical_00005539a1e04c809a9a78647bea649c/reactions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-bd61be761af643448f79c65e,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_0316886541d9435489859c2ad7edc863,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_0316886541d9435489859c2ad7edc863,provenance/artifact-inventory.csv#dataset-artifact-bd61be761af643448f79c65e,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-4d762e4c500fd144c348cd31,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_0316886541d9435489859c2ad7edc863/reactions.csv,file,842569,648a43db848a8a69d11cb58c3ed3eb1508af525f27c558d3a54597545fa12ce1,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_0316886541d9435489859c2ad7edc863/reactions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=physical_0316886541d9435489859c2ad7edc863/reactions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-53242ce3bbd83b4d7e693655,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_10b940e7982c4622b1e1ac879394aba6,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_10b940e7982c4622b1e1ac879394aba6,provenance/artifact-inventory.csv#dataset-artifact-53242ce3bbd83b4d7e693655,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-9c37ff120e239b874a266248,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_10b940e7982c4622b1e1ac879394aba6/reactions.csv,file,1365230,10ea96bf4cdf43ed16c1508b17b8fb0a530f78ebd46089500e465ebbe9653155,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_10b940e7982c4622b1e1ac879394aba6/reactions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=physical_10b940e7982c4622b1e1ac879394aba6/reactions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-ddcd273a22e19a6947abed02,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1158e351757f315b93cbcbe7bc55f38e,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1158e351757f315b93cbcbe7bc55f38e,provenance/artifact-inventory.csv#dataset-artifact-ddcd273a22e19a6947abed02,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-bfd9d110413010e25d4a96e3,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1158e351757f315b93cbcbe7bc55f38e/reactions.csv,file,10297606246,1812168fa69646d992efc36075a5a3da9c5ab4ae3a3b1883dc790c896320d359,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1158e351757f315b93cbcbe7bc55f38e/reactions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=physical_1158e351757f315b93cbcbe7bc55f38e/reactions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-28ec74341d22eb59857f7f6f,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1d3a1a6fb70d46c084602d0688967afc,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1d3a1a6fb70d46c084602d0688967afc,provenance/artifact-inventory.csv#dataset-artifact-28ec74341d22eb59857f7f6f,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-e4fbde5fee2e71cf414e6de4,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1d3a1a6fb70d46c084602d0688967afc/reactions.csv,file,1299761,a232c024557a5cc509d0ecd51fd7ce7ccfab8ec8e6f3f860e86602f7355302a8,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1d3a1a6fb70d46c084602d0688967afc/reactions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=physical_1d3a1a6fb70d46c084602d0688967afc/reactions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-7ec197fd0156ec7b5f53e2c3,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1ec2807f02fa4beda27d2a81b86eb843,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1ec2807f02fa4beda27d2a81b86eb843,provenance/artifact-inventory.csv#dataset-artifact-7ec197fd0156ec7b5f53e2c3,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-4336984328a92592c8870267,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1ec2807f02fa4beda27d2a81b86eb843/reactions.csv,file,15517423,ba117820ea21bec60d4a0f1aa67cbf3224b72a4fed9ea39c2d3ca8ec4738ff64,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_1ec2807f02fa4beda27d2a81b86eb843/reactions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=physical_1ec2807f02fa4beda27d2a81b86eb843/reactions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-ca0b1b5e6042bedef78ec4a8,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_35a5a513f1dd44a3a97c88da99f81a00,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_35a5a513f1dd44a3a97c88da99f81a00,provenance/artifact-inventory.csv#dataset-artifact-ca0b1b5e6042bedef78ec4a8,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-68914cafd81d209fd66fad18,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_35a5a513f1dd44a3a97c88da99f81a00/reactions.csv,file,945740,c445fee80344bde0eb2f36d8ae1713a33f4b23d673423b9fe55969b5de4cbd8c,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_35a5a513f1dd44a3a97c88da99f81a00/reactions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=physical_35a5a513f1dd44a3a97c88da99f81a00/reactions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-5f8b433f2155621c5baa24eb,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_3b5db90e337942ea886b8f5bc5e3aa72,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_3b5db90e337942ea886b8f5bc5e3aa72,provenance/artifact-inventory.csv#dataset-artifact-5f8b433f2155621c5baa24eb,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-7da325c0d358f5667eb2af1e,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_3b5db90e337942ea886b8f5bc5e3aa72/reactions.csv,file,2781072,211bbf0b8f163238c62cd3e3cfb9ff6c78ac0359be2188d146441c5075978a44,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_3b5db90e337942ea886b8f5bc5e3aa72/reactions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=physical_3b5db90e337942ea886b8f5bc5e3aa72/reactions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
